QId,Quesdesc,Choice1,Choice2,Choice3,Choice4,Choice5,Choice6,ChoiceAnswer,ValidTill,CompetitionName,Points,NegativePoints
1,"What is 9,654 / 3 using calculator upside down?",SITE,SIZE,28296,TIET,,,SIZE,2020-04-14 23:59:59,Calculator Quiz,20,0
2,What is 142 x 5 using calculator upside down?,LIO,LOI,OIL,701,,,OIL,2020-04-14 23:59:59,Calculator Quiz,10,0
3,"What is 1,879 x 3 using calculator upside down?",5673,5367,LENS,LEGS,,,LEGS,2020-04-14 23:59:59,Calculator Quiz,15,0
4,"What is 10,000 - 4,662 using calculator upside down?",5883,BEES,CHEES,8335,,,BEES,2020-04-14 23:59:59,Calculator Quiz,10,0
5,"What is 50,029 - 15,023 using calculator upside down?",90053,GOOSE,35060,NOOSE,,,GOOSE,2020-04-14 23:59:59,Calculator Quiz,15,0
6,What is 206 + 206 + 206 using calculator upside down?,EGG,618,81.9,BIG,,,BIG,2020-04-14 23:59:59,Calculator Quiz,20,0
7,"What is 1,88,308 + 1,88,308 using calculator upside down?",919973,616613,GIGGLE,376616,,,GIGGLE,2020-04-14 23:59:59,Calculator Quiz,10,0
8,What is 10 + 13 using calculator upside down?,23,32,EZ,E2,,,EZ,2020-04-14 23:59:59,Calculator Quiz,5,0
9,What is 926 x 2 x 2 using calculator upside down?,3704,4073,WHOLE,HOLE,,,HOLE,2020-04-14 23:59:59,Calculator Quiz,10,0
10,What is 1 + 740 x 5 using calculator upside down?,SOLE,5073,3705,GOLE,,,SOLE,2020-04-14 23:59:59,Calculator Quiz,5,0
